date,n_coords,length_m,area_m2,mean_cross_dist_m,std_cross_dist_m,max_cross_dist_m,quality_score,per_obs_rmse_m
2017-04-23 09:00:21+00:00,199,5606.454162410601,2049355.662990313,-13.577424901447175,44.58660947445451,76.92458825390155,,46.608070238768256
2018-08-01 09:00:19+00:00,199,5643.993966092909,2068681.4965434333,-3.1437542363943023,33.084498006389815,52.706804333802296,,33.2335252273011
2022-05-27 08:56:01+00:00,199,5595.979533646249,2086972.858335127,5.9332419575436965,63.72162208609989,84.90478289999741,,63.9972537020964
2023-05-12 08:56:01+00:00,199,5656.560831244863,2117942.779792542,7.338843024116219,30.20834879765358,81.73070821256819,,31.087022276398844
2023-07-16 08:55:59+00:00,199,5624.236201287803,2083062.9687918527,-1.0121142029563979,13.633353469464343,39.56802426256009,,13.670870564202612
2023-10-24 08:59:39+00:00,199,5647.566451362957,2090713.4366146019,12.816432864964739,37.832359103737254,55.608526834744445,,39.944315574763316
2024-09-23 08:57:11+00:00,199,5645.934433168743,2106311.1777864373,12.641289320837645,31.97411368438123,52.16685118059886,,34.38235218240397
2025-06-10 08:56:21+00:00,199,5638.682457976613,2064407.4998001668,-2.9264276091321038,20.931688306798314,44.96181880091152,,21.135268011654073
2025-06-15 08:55:59+00:00,199,5596.833997925107,2094527.9035037172,6.615709427948166,30.359564419916,55.61110363337161,,31.072025408751063
2025-07-15 08:55:59+00:00,199,5638.503514868231,2121114.609309201,14.077294943652205,40.03534962605282,57.680590066161194,,42.43818389859377
