date,n_coords,length_m,area_m2,mean_cross_dist_m,std_cross_dist_m,max_cross_dist_m,hausdorff_to_ref_m,quality_score,per_obs_rmse_m
2017-01-07 05:37:11+00:00,199,788.0849925048319,47503.32436055294,6.979001467192238,16.374731270112424,28.489563109309795,49.15003169547261,,17.79995184396489
2017-03-08 05:37:11+00:00,199,762.2577869463861,44452.49044234199,0.808391563000315,15.836103888029484,23.98594279913892,54.69058304484928,,15.856723598259277
2017-03-18 05:37:11+00:00,199,782.7977116760937,47423.14784350648,8.60261729033585,16.789541739156057,29.511695368418035,55.655745415736064,,18.865146065028192
2017-04-07 05:37:11+00:00,199,743.0324685806016,42238.06087191708,-1.5930799846926258,7.824526646814338,12.793699402440541,42.92569300049138,,7.985056110280996
2017-04-17 05:37:21+00:00,199,785.8167531080359,47274.61033310715,12.186670051441356,9.554011552483258,22.964083325753485,37.73325149900097,,15.485285392516381
2017-05-27 05:37:21+00:00,199,715.5510928564489,38340.531256914765,-6.656657052126763,23.218355805766713,35.846655360860254,39.41679459107076,,24.153739450296506
2017-07-11 05:37:19+00:00,199,731.1094978160763,40468.692849657295,-9.964224172916706,7.9300143219301615,15.631833901268742,43.52173939736061,,12.734633505293944
2017-08-25 05:37:21+00:00,199,747.7122405270335,42457.146817834815,1.610969315668617,11.825977405920156,15.140253951256177,46.68810019458619,,11.935198521237918
2017-08-30 05:37:09+00:00,199,778.7170116150731,46212.53824872797,6.210589761650483,10.011227115717013,25.250369471661948,38.89834867597533,,11.781175389153045
2017-09-19 05:37:09+00:00,199,702.6973319617948,36889.87043676763,-9.656582293426268,10.803319436819235,23.61124481342795,43.646928322131,,14.490041147066144
2017-09-24 05:37:11+00:00,199,746.6624506500194,42442.139185180975,-0.4153728822337496,11.060432002324903,22.793034986657343,43.49216186863633,,11.068228887647203
2017-10-14 05:37:21+00:00,199,767.3680969315473,44924.68209350358,4.946208186676407,12.631630304474632,25.5262325045033,40.387016923610076,,13.565509926827911
2017-10-19 05:36:59+00:00,199,694.0436428034966,35980.76946026191,-12.46348617730835,8.105724329772963,22.04336832991232,45.51713175182296,,14.867456224997927
2017-10-24 05:37:21+00:00,199,732.8114241938597,41554.13045392648,-1.86777597068506,6.06257206557292,12.899981497951607,39.30600800553265,,6.343766005058322
2017-10-29 05:37:09+00:00,199,769.3780050643774,45315.99579681734,5.526964480991908,9.704940855792596,23.594212409029563,41.20476428357157,,11.168402454629689
2017-12-08 05:37:09+00:00,199,779.8737420277225,46614.93095712313,7.17692274287109,14.854777179703037,31.254106065459567,43.51391804336779,,16.49765513992114
2017-12-13 05:37:11+00:00,199,752.9210290295591,42881.46581895542,2.389148151647953,20.494267624905,34.04523771146397,43.66985983618046,,20.633056835373473
2017-12-23 05:37:11+00:00,199,779.6597858763297,46464.97377432688,10.709663360439574,9.578007881491192,23.81216865072047,38.73951828107023,,14.367850370596475
2018-01-27 05:37:09+00:00,199,783.1744631549001,45123.169908462885,4.015506195267044,18.283992611826957,29.240712672081397,51.12481565948593,,18.719740271530767
2018-02-01 05:37:11+00:00,199,719.6765834199454,38204.108875532096,-9.63223341162532,16.625058610447777,31.027408546722256,44.34210410430109,,19.213862034917785
2018-02-11 05:37:11+00:00,199,755.9673304092573,43428.26762901513,2.8207276725577772,18.582402268484802,27.12905448404616,48.813288081335095,,18.795270114327227
2018-03-18 05:37:09+00:00,199,716.0674710047322,39183.40659515029,-6.04880098929703,17.973467538674935,30.64157799601327,45.1202866189812,,18.9640061372043
2018-04-07 05:37:19+00:00,199,787.6096481388201,48116.79608089989,12.434391994589012,7.693301646920192,25.506081196243233,44.15515247929456,,14.621935388504637
2018-05-07 05:37:19+00:00,199,783.2618008286414,47630.02186849987,14.177046291997637,15.873301185076292,32.436322639900354,38.12907766036746,,21.282629820527077
2018-06-11 05:37:21+00:00,199,725.4194869067737,40095.47708943587,-7.938654385893178,18.136836867784663,24.752334347092557,42.731111265016516,,19.79815862718788
2018-07-01 05:37:21+00:00,199,745.5323938801398,42200.33027399476,0.38037388922308596,12.462996521398887,18.906911583282856,40.158001654646895,,12.468799725234321
2018-09-04 05:37:09+00:00,199,774.185647403286,46558.865652164015,6.772313200639288,6.492401138174194,18.645938035935067,43.042600671294174,,9.381657562846703
2018-09-09 05:37:11+00:00,199,692.7355613179562,35096.65010796388,-11.457659108314974,12.90310904429011,26.826933903580024,42.50080187476746,,17.25596057167477
2018-09-14 05:37:09+00:00,199,766.817034525346,44335.61692876128,3.5811090844678444,8.140305774256642,20.028257730612616,42.370531576808695,,8.893195172335652
2018-10-19 05:37:11+00:00,199,745.1697316180578,42730.02421957372,0.8081553657877555,21.587461965764476,28.23768725192632,43.09194928132449,,21.602583855145184
2018-11-23 05:37:19+00:00,199,713.4977526770651,39191.990788337476,-6.043345757332126,12.368618605887903,24.676007124347606,38.42008046629771,,13.766072575741443
2018-12-23 05:37:09+00:00,199,715.6000188669777,38428.22456531478,-3.971421881424039,16.470134648134795,28.771930110639545,47.99610347593756,,16.942181886874664
2019-01-02 05:37:19+00:00,199,750.8803535821936,41910.51521175882,-2.1669479350484586,18.684507485508043,27.09736448480943,41.15587357491087,,18.809744371713744
2019-01-17 05:37:11+00:00,199,770.405283507697,43127.03063992826,2.095074358935024,22.753532088511875,34.95440837871479,41.50879720243077,,22.84978247319669
2019-01-22 05:37:19+00:00,199,721.6979824777542,37803.63414191298,-8.716987562030175,26.990080035628683,40.8551042478995,48.04033694170362,,28.3628329418313
2019-02-11 05:37:19+00:00,199,761.1445547261501,45248.744751986706,8.855177486164036,11.9738379153372,21.257613819875452,40.2355574742725,,14.89251364727369
2019-02-16 05:37:11+00:00,199,739.7695100662219,41801.61371247952,-6.896203472506946,17.083611846060123,25.900625486550695,47.20146749600862,,18.42301321828388
2019-03-08 05:37:11+00:00,199,732.2591602136371,39260.15481956529,-5.727801390375821,22.2933152481268,42.2839628008048,47.386620733207394,,23.01737633875664
2019-03-13 05:37:19+00:00,199,786.4568076881292,47442.63567459244,9.807858127376216,15.954235780721206,33.71599069176237,47.260396587276325,,18.72783277353748
2019-03-18 05:37:11+00:00,199,723.8540697816031,39311.129125763706,-6.508760918885958,18.920310618292245,28.90832977837634,50.91425357674609,,20.008551236705756
2019-03-23 05:37:19+00:00,199,729.1778021985258,40456.10808301801,-5.60625250872601,18.447122738899562,30.669372826359243,48.340367875664185,,19.280207585387195
2019-03-28 05:37:21+00:00,199,788.2433784654403,47772.949483723474,7.4503403901602,18.395498233555273,34.602493501864224,45.41715837911647,,19.846962669133724
2019-04-12 05:37:19+00:00,199,790.7942126979517,48250.79435676673,8.44454167839076,17.574237902626862,34.36783955002,42.03756640425075,,19.497797876073218
2019-04-27 05:37:21+00:00,199,797.6357199963539,48748.96820006397,11.51602216462367,5.164773653300393,23.253249487659836,39.42321756801256,,12.62115895573499
2019-05-07 05:37:21+00:00,199,724.322106719043,40241.41429327546,-3.607290068165044,6.996095647677831,12.881307428863378,44.09621787086033,,7.8713338099294745
2019-06-01 05:37:29+00:00,199,715.884868401538,38790.673750382426,-6.4238176723620395,11.717869920480416,25.013189081221288,52.85704373729472,,13.363154902980456
2019-07-26 05:37:21+00:00,199,774.9026745696744,46308.94155838027,10.085552320463234,12.428267433123741,25.230058056894322,41.36099445638356,,16.005630165602525
